"Pax","Issue.Date","Sector","Cls","Net"
1,28,3,5,3599
1,28,3,6,3350
1,28,3,5,3599
1,28,5,6,3910
1,28,3,6,3350
1,28,5,6,3200
1,28,6,6,3350
1,28,5,6,3910
1,28,5,6,3200
1,28,5,3,5190
1,28,5,6,3910
1,28,6,5,3599
1,28,5,6,3910
1,28,2,6,3910
1,28,3,6,3350
1,28,2,5,4279
1,28,2,5,4279
1,28,3,6,3350
1,28,1,6,3700
2,28,1,6,3200
1,28,2,6,3910
1,28,3,5,3599
1,28,3,5,3599
1,28,5,6,3910
1,28,3,6,3350
1,28,2,4,4620
1,28,4,6,3700
1,28,6,4,3880
1,28,6,4,3880
1,28,6,5,3599
1,28,1,6,3700
1,28,5,5,4279
1,28,3,6,3350
1,28,2,4,4620
1,28,1,6,3700
1,28,1,6,3700
1,28,3,6,3350
1,28,3,4,3880
1,28,3,3,4370
1,28,5,6,3910
1,28,5,6,3910
1,28,2,3,5190
1,28,5,4,4620
1,28,6,4,3880
1,28,6,2,4829
1,28,3,1,5380
1,28,3,1,5380
1,28,5,5,4279
1,28,5,6,3200
1,28,5,5,4279
1,28,5,6,3910
1,28,3,6,2699
1,28,3,6,2699
1,28,6,6,2500
1,32,3,2,4829
1,32,3,2,4829
1,32,3,6,2699
1,32,1,6,3200
1,32,4,6,3700
1,32,3,3,4370
1,32,3,2,4829
1,32,6,6,2500
1,32,5,6,3910
1,32,6,5,3599
2,32,6,5,3599
1,32,2,6,3910
1,32,3,6,2699
1,32,3,6,2699
1,32,3,3,4370
1,32,3,6,2699
1,32,6,6,2500
1,32,6,6,3350
1,32,1,6,4210
1,32,2,3,5190
1,32,5,6,3910
1,32,6,4,3880
1,32,5,3,5190
1,32,2,5,4279
1,32,4,6,3700
1,32,4,6,3700
1,32,4,6,3700
1,32,6,4,3880
1,32,4,6,3700
1,32,2,6,3500
1,32,3,1,5380
1,32,4,6,3700
1,32,4,6,3700
1,32,5,6,3910
1,32,2,1,6350
1,32,4,6,3700
1,32,2,5,4279
1,32,5,3,5190
1,32,6,6,3350
1,32,6,6,3350
1,32,3,6,3350
1,32,3,6,3350
1,32,5,5,4279
1,32,3,6,3350
1,32,5,4,4620
1,32,1,6,4210
1,32,2,1,6350
1,32,2,1,6350
2,32,2,1,4851
1,32,4,6,3700
1,32,4,5,4580
1,32,4,5,4580
1,32,5,6,3910
1,32,5,3,5190
1,32,5,3,5190
1,32,6,5,3599
1,32,1,5,4580
1,32,1,5,4580
1,32,4,6,3700
1,32,5,6,3200
1,32,3,6,2200
1,32,3,6,2200
1,32,3,6,3350
1,32,5,6,3910
1,32,4,5,4580
1,32,1,6,4210
1,32,1,6,4210
1,32,3,6,3350
1,32,5,6,3910
1,32,5,6,3910
1,32,5,6,3910
1,32,5,6,3910
1,32,5,6,3200
1,32,4,6,3700
1,32,4,6,3700
1,32,4,6,3700
1,32,3,6,3350
1,32,6,6,3350
1,32,3,6,2200
1,32,6,5,3599
1,32,3,6,3350
1,32,4,5,4580
1,32,2,3,5190
1,32,1,5,4580
1,32,1,5,4580
1,32,4,5,4580
1,32,6,6,3350
1,32,6,5,3599
1,32,6,5,3599
1,32,6,5,3599
1,32,3,6,2200
1,32,3,5,3599
1,32,6,4,3880
1,32,6,4,3880
1,32,3,6,3350
1,32,6,2,4829
1,32,3,6,3350
1,32,6,6,3350
1,32,2,2,5720
1,32,3,6,3350
1,32,2,1,6350
1,32,2,1,6350
1,32,2,1,6350
1,32,2,1,6350
1,32,3,6,3350
1,32,2,6,3500
1,32,2,6,3500
1,32,2,6,3500
1,32,1,6,3200
1,32,6,1,5380
1,32,6,1,5380
1,32,1,6,4210
1,32,4,6,3700
1,32,6,6,2200
1,32,6,6,2200
1,32,3,5,3599
1,32,1,6,4210
1,32,1,3,6115
1,32,6,6,2200
1,32,5,5,4279
1,32,3,5,3599
1,32,1,6,4210
1,32,5,3,5190
1,32,4,6,3700
1,32,4,6,3700
1,32,6,1,5380
1,32,6,1,5380
1,32,6,1,5380
1,32,6,1,5380
1,32,6,1,5380
1,32,6,1,5380
1,32,3,1,5380
2,32,3,1,4127
1,32,3,6,3350
1,32,6,1,5380
1,32,3,6,3350
1,32,2,6,3500
1,32,3,6,3350
1,32,2,6,3200
1,32,3,6,3350
1,32,6,1,5380
1,32,6,1,5380
1,32,3,6,3200
1,32,2,6,3500
1,32,5,6,3200
1,32,2,6,3500
1,32,3,6,3200
1,32,3,6,3350
1,32,3,6,3350
1,32,3,6,3200
1,32,3,6,3200
1,32,3,6,3200
1,32,1,4,4960
1,32,4,6,3200
1,32,5,1,6350
1,32,3,6,3200
1,32,3,6,3200
1,32,2,6,3200
1,32,2,6,3200
1,36,3,6,3200
1,36,4,2,7195
1,36,4,2,7195
1,36,3,5,3599
1,36,3,4,3880
1,36,3,6,3200
1,36,3,6,3350
1,36,3,6,2999
1,36,3,6,2999
1,36,4,4,4960
1,36,3,5,3599
1,36,3,5,3599
1,36,4,4,4960
1,36,3,4,3880
1,36,3,4,3880
1,36,1,4,4960
1,36,1,3,6115
1,36,1,3,6115
1,36,3,5,3599
1,36,3,5,3599
1,36,4,3,6115
1,36,2,6,3200
1,36,1,3,6115
1,36,1,3,6115
1,36,4,3,6115
1,36,1,6,3200
2,36,1,6,3200
1,36,1,6,3200
1,36,4,6,4210
1,36,4,6,4210
1,36,4,6,4210
1,36,4,1,8299
1,36,4,1,8299
1,36,5,4,4620
1,36,5,6,3200
1,36,5,4,4620
1,36,2,6,3910
1,36,6,6,3350
1,36,1,4,4960
1,36,2,6,3910
1,36,4,3,6115
1,36,5,6,3200
1,36,5,6,3200
1,36,5,6,3910
1,36,1,4,4960
1,36,2,5,4279
1,36,5,6,3910
1,36,5,6,3910
1,36,5,6,3910
1,36,4,6,3200
1,36,5,4,4620
1,36,5,6,3910
1,36,5,6,3910
1,36,5,6,3910
1,36,5,6,3910
1,36,6,6,3350
1,36,1,5,4580
1,36,6,6,3350
1,36,6,6,3350
1,36,5,5,4279
1,36,4,6,4210
1,36,6,6,3350
1,36,6,6,3350
1,36,5,5,4279
1,36,1,4,4960
1,36,5,3,5190
1,36,2,6,3910
1,36,5,5,4279
1,36,5,5,4279
1,36,2,6,3910
1,36,1,4,4960
1,36,3,6,2999
1,36,3,6,2999
1,36,6,6,3350
1,36,6,6,3350
1,36,1,4,4960
1,36,6,5,3599
1,36,6,4,3880
1,36,6,4,3880
1,36,6,4,3880
1,36,1,5,4580
1,36,2,6,3910
1,36,2,6,3910
1,36,2,6,3910
1,36,3,6,2999
1,36,6,6,3350
1,36,5,5,4279
1,36,5,5,4279
1,36,4,5,4580
1,36,4,5,4580
1,36,5,5,4279
1,36,5,5,4279
1,36,6,6,3350
1,36,6,6,3350
1,36,2,6,3910
1,36,3,6,2999
1,36,1,6,3900
1,36,6,6,3350
1,36,2,6,3910
1,36,2,6,3910
1,36,6,6,2195
1,36,6,6,2195
1,36,6,6,2195
1,36,3,6,2195
1,36,3,6,2195
1,36,3,5,3599
1,36,6,6,3350
1,36,2,4,4620
1,36,6,6,3350
1,36,5,5,4279
1,36,6,4,3880
2,36,6,4,3880
1,36,3,6,2195
1,36,2,4,4620
1,36,6,3,4370
1,36,6,3,4370
1,36,6,6,2195
1,36,6,5,3599
1,36,6,6,2195
1,36,5,6,3500
1,36,2,2,5720
1,36,2,2,5720
1,36,3,6,2195
1,36,3,6,2195
1,36,3,6,2195
1,36,5,4,4620
1,36,2,5,4279
1,36,1,6,3900
1,36,3,6,2195
1,36,6,6,2195
1,36,2,4,4620
1,36,2,4,4620
1,36,2,4,4620
1,36,3,6,2195
1,36,2,6,3900
1,36,5,6,3500
1,36,5,4,4620
1,36,5,6,3500
1,36,5,6,3200
1,36,5,6,3200
1,36,5,6,3200
1,40,3,6,2999
1,40,3,2,4829
1,40,3,2,4829
1,40,2,5,4279
1,40,5,5,4279
1,40,2,4,4620
1,40,6,6,3350
1,40,2,4,4620
1,40,2,4,4620
1,40,6,6,2195
1,40,6,6,2195
1,40,6,6,2195
1,40,5,4,4620
1,40,5,4,4620
2,40,5,4,4620
1,40,1,3,6115
1,40,6,6,2195
1,40,6,6,2195
1,40,1,4,4960
1,40,1,6,3900
1,40,1,6,4199
